0	Start	0	9	0000010000	0	0	0	0	0	0	0
1	Krzyki	1	0	1100000000	2	10	30	90	160	250	60
2	Kasa Spoleczna 1	2	9	0000100000	0	0	0	0	0	0	0
3	Archikatedra św. Jana	3	0	1100000000	4	20	60	180	320	450	60
4	Gazeta	4	9	0000001000	200	200	200	200	200	200	0
5	Koleje Dolnoslaskie	5	8	1010000000	0	25	50	100	200	0	200
6	Panorama Raclawicka	6	1	1100000000	6	30	90	270	400	550	100
7	Szansa 1	7	9	0000100000	0	0	0	0	0	0	0
8	Park Szczytnicki	8	1	1100000000	6	30	90	270	400	550	100
9	Ogród Botaniczny	9	1	1100000000	8	40	100	300	450	600	120
10	Wiezienie	10	9	0000000010	0	0	0	0	0	0	0
11	Uniwersytet Medyczny	11	2	1100000000	10	50	150	450	625	750	140
12	Elektrocieplownia Wroclaw	12	8	1001000000	0	0	0	0	0	0	150
13	Uniwersytet Przyrodniczy	13	2	1100000000	10	50	150	450	625	750	140
14	Uniwersytet Ekonomiczny	14	2	1100000000	12	60	180	500	700	900	160
15	Dworzec PKP	15	8	1010000000	0	25	50	100	200	0	200
16	Arkady Wroclawskie	16	3	1100000000	14	70	200	550	750	950	180
17	Kasa Spoleczna 2	17	9	0000100000	0	0	0	0	0	0	0
18	Aleja Bielany	18	3	1100000000	14	70	200	550	750	950	180
19	Pasaz Grunwaldzki	19	3	1100000000	16	80	220	600	800	1000	200
20	Parking	20	9	0000010000	0	0	0	0	0	0	0
21	Green2Day	21	4	1100000000	18	90	250	700	875	1050	220
22	Szansa 2	22	9	0000100000	0	0	0	0	0	0	0
23	Pegaz	23	4	1100000000	18	90	250	700	875	1050	220
24	Buisness Garden	24	4	1100000000	20	100	300	750	925	1100	240
25	MPK Wroclaw	25	8	1010000000	0	25	50	100	200	0	200
26	Grape Hotel	26	5	1100000000	22	110	330	800	975	1150	260
27	Most Grunwaldzki	27	5	1100000000	22	110	330	800	975	1150	260
28	ALBA	28	8	1001000000	0	0	0	0	0	0	150
29	Rynek Ratusz	29	5	1100000000	24	120	360	850	1025	1200	280
30	Policja	30	9	0000000100	0	0	0	0	0	0	50
31	Sky Tower	31	6	1100000000	26	130	390	900	1100	1275	300
32	Uniwersytet Wroclawski	32	6	1100000000	26	130	390	900	1100	1275	300
33	Kasa Spoleczna 3	33	9	0000100000	0	0	0	0	0	0	0
34	Politechnika Wroclawska	34	6	1100000000	28	150	450	1000	1200	1400	320
35	Polinka	35	8	1010000000	0	25	50	100	200	0	200
36	Szansa 3	36	9	0000100000	0	0	0	0	0	0	0
37	Hala Stulecia	37	7	1100000000	35	175	500	1100	1300	1500	350
38	Radio Wroclaw	38	9	0000001000	0	0	0	0	0	0	100
39	Ostrów Tumski	39	7	1100000000	50	200	600	1400	1700	2000	400
